SOURCE_DISPLAY_NAME,SOURCE_DRIVER_CLASS,SOURCE_JDBC_URL,SOURCE_USERNAME,SOURCE_ODBC_DSN,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_CATALOG,SOURCE_TABLE,SOURCE_COLUMN,TARGET_DISPLAY_NAME,TARGET_DRIVER_CLASS,TARGET_JDBC_URL,TARGET_USERNAME,TARGET_ODBC_DSN,TARGET_DATABASE,TARGET_SCHEMA,TARGET_CATALOG,TARGET_TABLE,TARGET_COLUMN
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","ft_compras","sk_cliente"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","ft_compras","sk_funcionario"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","ft_compras","sk_produto"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","ft_compras","sk_filial"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","ft_compras","md_qtd"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","sk_produto"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","nk_produto"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","etl_dt_inicio"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","etl_dt_fim"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","etl_versao"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_produto","preco"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","sk_funcionario"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","nk_funcionario"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","etl_dt_inicio"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","etl_dt_fim"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","etl_versao"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_funcionario","nome"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","sk_cliente"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","nk_cliente"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","etl_dt_inicio"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","etl_dt_fim"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","etl_versao"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_cliente","idade"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","sk_filial"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","nk_filial"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","etl_dt_inicio"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","etl_dt_fim"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","etl_versao"
,,,,,"","","","",,"PlayPen Database",,,,,"PlayPen Database","","","dim_filial","endereco"
